NDVI,NDBI,B6,B7,Emissivity,LST_Label
0.18956561,-0.081578396,13127.0,11790.0,0.9625,41.941864
0.062204022,0.041357372,16203.0,14719.0,0.9709,40.92328
0.31600815,-0.20271213,10289.0,8698.0,0.986,23.706696
0.23233305,-0.07452794,12008.0,10134.0,0.9824,23.669098
0.2576148,-0.1164946,15062.0,12138.0,0.98139995,31.62967
0.33498758,-0.14146756,13151.0,10049.0,0.98469996,36.551636
0.19499189,-0.014766687,17514.0,13565.0,0.96889997,37.87784
0.31212202,-0.11851164,13764.0,10661.0,0.9838,32.665344
0.2342205,-0.0116485115,17012.0,13941.0,0.97179997,39.265533
0.40109563,-0.18637358,13769.0,10127.0,0.98609996,29.13797
0.29792133,-0.13831598,14936.0,11521.0,0.968,31.59549
0.22989014,-0.00592539,17867.0,13230.0,0.9752,41.25824
0.45699632,-0.276787,12551.0,9443.0,0.9873,31.243439
0.0784655,0.077838965,18105.0,17084.0,0.97569996,49.44098
0.43299836,-0.2306893,13326.0,9848.0,0.987,29.025146
0.16779181,0.025216432,16283.0,13016.0,0.9734,46.79544
0.067842856,0.07237718,16513.0,15458.0,0.95559996,49.94687
0.19877367,-0.024948345,15809.0,12151.0,0.98429996,35.659515
0.34585944,-0.12755838,14216.0,10694.0,0.98539996,33.21225
0.15743895,-0.06603034,14286.0,12756.0,0.97139996,43.90036
0.40241784,-0.20619765,13551.0,10750.0,0.98609996,26.765839
0.15762925,0.033079024,18145.0,15308.0,0.96269995,43.44577
0.15978901,0.057039548,18856.0,14134.0,0.9773,45.11035
0.3314033,-0.11825372,15774.0,11970.0,0.9675,38.089752
0.38401243,-0.2116098,12753.0,9886.0,0.9853,31.974884
0.21099131,-0.008399467,17118.0,13115.0,0.97779995,32.08426
0.26768562,-0.10119066,14758.0,12332.0,0.9831,34.770844
0.20346573,0.015691528,17056.0,13390.0,0.9698,37.881256
0.34060988,-0.16875437,15462.0,12099.0,0.9799,33.458344
0.38665032,-0.201524,12784.0,9676.0,0.9852,27.586151
0.18648802,-0.0042167134,15586.0,12608.0,0.9704,41.521454
0.34982434,-0.17793931,13005.0,10147.0,0.97029996,36.312378
0.21082991,-0.013641576,16341.0,13037.0,0.9693,42.90915
0.18830392,0.0321893,16947.0,13055.0,0.9772,39.92862
0.3501863,-0.18533917,13325.0,10328.0,0.9744,32.02957
0.18978323,-0.16216916,11317.0,9945.0,0.97489995,13.151886
0.15360874,-0.056993693,17340.0,13458.0,0.97929996,36.220093
0.34701478,-0.19283222,12725.0,9939.0,0.9844,37.204468
0.17695983,0.030599825,18204.0,14386.0,0.96309996,42.72458
0.29815868,-0.10810283,13704.0,10770.0,0.9738,41.401825
0.17043242,-0.01172871,19380.0,14613.0,0.95909995,36.144867
0.36412197,-0.1933024,12430.0,9626.0,0.9856,30.740997
0.24522345,-0.059188813,16817.0,12806.0,0.97209996,32.996887
